bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Jardim Londrina,Apartamento,120.0,3.0,1.0,4.0,3.0,392000
Itaim Bibi,Apartamento,103.0,1.0,0.0,2.0,1.0,630000
Vila Prel,Apartamento,89.0,1.0,0.0,2.0,1.0,280000
Jardim Ampliação,Apartamento,40.0,1.0,1.0,1.0,1.0,195300
Vila Nova Mazzei,Casa,120.0,0.0,0.0,3.0,2.0,371000
Jardim Monte Alegre,Apartamento,56.0,0.0,0.0,2.0,1.0,185500
Vila Nair,Apartamento,62.0,2.0,1.0,2.0,1.0,321300
Saúde,Apartamento,74.0,2.0,1.0,3.0,2.0,472499
Vila Andrade,Apartamento,163.0,3.0,1.0,3.0,3.0,910000
Vila Andrade,Apartamento,106.0,3.0,2.0,2.0,2.0,468999
Vila Ema,Apartamento,53.0,1.0,0.0,2.0,1.0,182000
Vila Andrade,Apartamento,200.0,3.0,3.0,3.0,3.0,979999
Moema,Apartamento,220.0,5.0,2.0,4.0,5.0,1155000
Cidade Monções,Apartamento,82.0,1.0,1.0,3.0,1.0,482999
Jardim Casablanca,Apartamento,53.0,1.0,0.0,2.0,1.0,148400
Higienópolis,Apartamento,150.0,2.0,0.0,3.0,0.0,468999
Mirandópolis,Apartamento,97.0,3.0,1.0,3.0,3.0,581000
Jardim Umuarama,Apartamento,62.0,2.0,1.0,2.0,1.0,315000
Indianópolis,Apartamento,112.0,3.0,1.0,3.0,2.0,840000
Campo Limpo,Apartamento,66.0,1.0,0.0,3.0,1.0,215600
Vila Ema,Apartamento,50.0,1.0,0.0,2.0,1.0,188300
Santana,Apartamento,420.0,6.0,4.0,4.0,5.0,1610000
Ipiranga,Apartamento,143.0,5.0,3.0,3.0,2.0,965999
Vila Andrade,Apartamento,78.0,3.0,2.0,2.0,2.0,315000
Parque Colonial,Casa de dois andares,195.0,0.0,1.0,3.0,2.0,558600
Vila Suzana,Apartamento,230.0,4.0,2.0,4.0,4.0,693000
Vila Andrade,Apartamento,195.0,5.0,3.0,4.0,4.0,1007999
Jardim Paulista,Apartamento,51.0,0.0,1.0,2.0,1.0,489999
Tatuapé,Apartamento,260.0,5.0,4.0,0.0,4.0,833000
Parque da Mooca,Apartamento,58.0,1.0,0.0,2.0,1.0,237999
Jaguare,Apartamento,210.0,5.0,1.0,3.0,5.0,595000
Vila Prudente,Casa de dois andares,220.0,0.0,0.0,4.0,3.0,448000
Jaguare,Apartamento,157.0,2.0,1.0,3.0,2.0,447300
Vila Sofia,Apartamento,72.0,2.0,1.0,3.0,2.0,364000
Panamby,Apartamento,200.0,5.0,3.0,3.0,3.0,1120000
Parque Continental,Casa,115.0,3.0,1.0,3.0,3.0,560000
Jardim Paulista,Apartamento,186.0,0.0,1.0,3.0,1.0,1113000
Belenzinho,Apartamento,65.0,2.0,1.0,3.0,1.0,265300
Jardim Paulista,Apartamento,215.0,4.0,2.0,4.0,3.0,3202500
Rio Pequeno,Apartamento,95.0,3.0,2.0,2.0,2.0,539000
Mooca,Apartamento,73.0,2.0,1.0,3.0,0.0,222600
Chácara Mafalda,Casa,138.0,2.0,1.0,3.0,3.0,461999
Santa Cecília,Cobertura,240.0,1.0,1.0,3.0,1.0,1610000
Parque Mandaqui,Apartamento,86.0,2.0,1.0,2.0,1.0,367500
Vila Romana,Apartamento,180.0,5.0,3.0,3.0,3.0,1638000
Lauzane Paulista,Condomínio,70.0,3.0,2.0,2.0,1.0,336000
Jardim Londrina,Apartamento,75.0,2.0,0.0,3.0,1.0,273000
Morumbi,Casa,600.0,4.0,3.0,5.0,3.0,2159500
Lauzane Paulista,Apartamento,63.0,1.0,0.0,3.0,1.0,278600
Tatuapé,Apartamento,75.0,2.0,1.0,3.0,2.0,392000
Santa Cecília,Apartamento,174.0,1.0,1.0,3.0,2.0,903000
Sé,Apartamento,55.0,1.0,0.0,1.0,0.0,175000
Jardim Peri,Casa,120.0,2.0,1.0,3.0,2.0,475999
Barra Funda,Apartamento,160.0,2.0,1.0,3.0,2.0,1116500
Campo Belo,Apartamento,47.0,1.0,0.0,1.0,1.0,371000
Lauzane Paulista,Apartamento,125.0,3.0,1.0,3.0,2.0,742000
Aclimação,Casa de dois andares,150.0,3.0,1.0,2.0,1.0,455000
Casa Verde,Apartamento,64.0,2.0,1.0,3.0,2.0,371000
Chora Menino,Casa,95.0,3.0,1.0,3.0,2.0,446600
Imirim,Casa de dois andares,100.0,0.0,0.0,2.0,2.0,343000
Santana,Apartamento,205.0,6.0,3.0,3.0,4.0,1540000
Vila Medeiros,Casa de dois andares,135.0,2.0,0.0,2.0,2.0,357000
Parque São Jorge,Apartamento,67.0,1.0,1.0,2.0,1.0,543340
Lauzane Paulista,Apartamento,92.0,2.0,1.0,2.0,2.0,517999
Vila Gustavo,Apartamento,50.0,0.0,0.0,2.0,1.0,237999
Jardim Esmeralda,Apartamento,53.0,1.0,0.0,3.0,1.0,224000
Cerqueira César,Flat,62.0,1.0,0.0,2.0,1.0,540400
Itaim Bibi,Apartamento,130.0,1.0,1.0,3.0,2.0,1309000
Santa Teresinha,Condomínio,143.0,3.0,1.0,3.0,2.0,628600
Vila Mariana,Apartamento,250.0,5.0,3.0,0.0,4.0,2380000
Perdizes,Apartamento,140.0,4.0,3.0,4.0,3.0,965999
Paraíso,Apartamento,632.0,5.0,4.0,4.0,7.0,11899993
Jardim Peri,Casa,9.0,1.0,0.0,2.0,1.0,385000
Penha de França,Casa,150.0,0.0,0.0,3.0,2.0,486499
Vila Formosa,Apartamento,64.0,1.0,0.0,3.0,1.0,259699
Parque Mandaqui,Apartamento,80.0,2.0,1.0,3.0,2.0,371000
Lauzane Paulista,Apartamento,49.0,1.0,0.0,1.0,1.0,136500
Higienópolis,Apartamento,290.0,4.0,3.0,4.0,2.0,1924299
Vila Mariana,Apartamento,36.0,0.0,0.0,1.0,0.0,244999
Jardim Marajoara,Apartamento,92.0,2.0,1.0,4.0,2.0,525000
Jardim Paulista,Flat,30.0,1.0,0.0,1.0,1.0,230999
